author,date,description,tags,title
Marc-Andre Lemburg,July 2020,"We had been planning the EuroPython 2020 conference in Dublin, Ireland ever since late in 2019, when we ran the CFP. In March, it became apparent that the COVID-19 crisis would not be over by July 2020 and so we had to make a hard decision to either drop the event for 2020 or go online.","Community,EuroPython,EuroPython Society (EPS),The Answer to Life the Universe and Everything Else",Running EuroPython 2020 as an online conference
Diana Rodriguez Manrique,July 2020,Open Source has crossed frontiers and is widely used to solve problems in the health & science fields. In this talk we’ll learn about the many moving parts of continuous glucose monitoring for type 1 Diabetes as part of the open-source artificial pancreas project and building a notifier for the most used OSS continuous glucose monitoring dashboard: Nightscout.,"Beginners,Communication,DIY,Development,Open-Source",Roadmap to an Open Source Artificial Pancreas & Diabetes monitoring with Flask
Alejandro Saucedo,July 2020,"This talk will provide a practical insight on how to build scalable data streaming machine learning pipelines to process large datasets in real time using Python Asyncio, Kafka, Faust, SpaCy and Seldon.","ASYNC / Concurreny,Best Practice,Big Data,Distributed Systems,Scientific Libraries (Numpy/Pandas/SciKit/...)",Real Time Stream Processing with Python Asyncio at Scale
Dean Wampler,July 2020,"Ray (,) is an open-source, distributed framework from U.C. Berkeley’s RISELab that easily scales Python applications from a laptop to a cluster. While broadly applicable, it was developed to solve the unique performance challenges of ML/AI systems, such as the heterogeneous task scheduling and state management required for hyperparameter tuning and model training, running simulations when training reinforcement learning (RL) models, and model serving. Ray is now used in many production deployments. ","Architecture,Data,Deep Learning,Distributed Systems,Microservices","Ray: A System for High-performance, Distributed Python Applications"
Wei Lee,July 2020,"### Goals,I expect the audiences to gain knowledge of the tools I mention and the primary usage of them. The tools will cover various aspects of software engineering (e.g., dependencies, testing, security, etc.). Also, I'll purpose how I combine all these tools in my development workflow as a sample for how the audiences can integrate these tools into their workflow.","Best Practice,General,Programming,Tooling",Python Table Manners: Cut the Cookie Gracefully
J.M. Ortega,July 2020,"I will review the main mechanims for memory allocation and how the garbage collector works in conjunction with the memory manager for reference counting of the python objects.Finally, I will comment the best practices for memory managment such as writing efficient code.","Best Practice,Development,Management,Python Skills",Python Memory Management 101
Fernando Masanori Ashikaga,July 2020,"During the pandemic lockdown of COVID-19, we found a very different context from the usual: a) students with much more time available for learning b) many students who did not have a personal computer and could only access classes by cell phone c) difficulty to realistically assess learning. In this lecture we will present the real experiences in a traditional programming course given during the Covid-19 pandemic.","Beginners,Case Study,Community,Education",Python Emergency Remote Teaching
Eyal Trabelsi,July 2020,"Writing performant pandas code is not an easy task, in this talk I will explain how to find the bottlenecks and how to write proper code with computational efficiency, and memory optimisation in mind.","Best Practice,Data,Data Science",Practical Optimisations for Pandas
Nicolas Kuhaupt,July 2020,"In time series forecasting we are interested in how the time series is going to continue in the future. This is of high importance in areas like forecasting energy production from renewable resources, forecasting demand of customers or the price of products. Many forecasting algorithms provide only the prediction. However, oftentimes we are also interested in the likelihood of the prediction and how much it may vary. This is what probabilistic forecasting is for. With every forecast, we also obtain an upper and lower bound with certain probabilities. For a long time, probabilistic forecasting was limited to traditional techniques like ARIMA. DeepAR is an algorithm that allows us to combine Deep Learning techniques with probabilistic forecasting. Additionally, in contrast to training a model for each time series individually, DeepAR suggests training one large forecasting model for all related time series. The algorithm was developed by Amazon and is also provided in AWS SageMaker. ,In this talk, we will understand the theoretical basics of DeepAR, have a look at a practical time series example and will demonstrate an implementation. In the end, you will be prepared to get started with your own forecasts.","Data Science,Deep Learning,Machine-Learning,Predictions,Public Cloud (AWS/Google/...)",Probabilistic Forecasting with DeepAR and AWS SageMaker
Anmol Krishan Sachdeva,July 2020,"A lot of advancements are happening in the field of Deep Learning and Generative Adversarial Networks are one of them. We have seen GANs being applied for photo editing and in-painting, generating new image datasets and realistic photographs, increasing resolution of images (Super Resolution), and many more things. Some people have also exploited GANs for generating fake content. All the above-mentioned examples are result of a technique where the focus is to generate uncommon yet original samples from scratch. However, these examples have very less commercial applications and GANs are capable of doing much more. The focus of this talk is a technique called ""Neural Style Transfer (NST)"" which has numerous commercial applications in the gaming world, fashion/design industry, mobile applications, and many more fields. Challenges and technicalities of NSTs will be covered in great detail. We will teach the machines on how to paint images and utilize Style Transfer networks to generate artistic artefacts.","Computer Vision,Deep Learning,Generative Adversarial Networks,Image Processing,Machine-Learning",Painting with GANs: Challenges and Technicalities of Neural Style Transfer
Chase Stevens,July 2020,"Developing machine learning models is easy; training, deploying, monitoring, scaling, and maintaining them in an automated fashion - all while maintaining your sanity - is hard. ","Case Study,Data Science,DevOps general,Infrastructure,Machine-Learning",Painless Machine Learning in Production
Philipp Thomann,July 2020,Ever wanted to try out NLP methods but it felt it too cumbersome to set up a workflow for textual data? How to enrich your data based on textual features and explore the results?,"Data Science,Elastic Search,Machine-Learning,Natural Language Processing","NLPeasy - a Workflow to Analyse, Enrich, and Explore Textual Data"
Francisco Passos,July 2020,"This has been mitigated with tooling and education, but for the most part it requires human action and decision. While most codebases have somewhere between tens and thousands of Python modules, some companies may maintain a codebase with millions of modules. This presentation covers techniques and tooling that Google created to enable the developers to scope their migration needs, plan the work required, execute effectively at scale and collaborate across teams/dependencies.","Best Practice,Python 2,Python 3",Migrating codebases with millions of modules from Python 2 to Python 3
Robson Junior,July 2020,"Building data pipelines are a consolidated task, there are a vast number of tools that automate and help developers to create data pipelines with few clicks on the cloud. It might solve non-complex or well-defined standard problems. This presentation is a demystification of years of experience and painful mistakes using Python as a core to create reliable data pipelines and manage insanely amount of valuable data. Let's cover how each piece fits into this puzzle: data acquisition, ingestion, transformation, storage, workflow management and serving. Also, we'll walk through best practices and possible issues. We'll cover PySpark vs Dask and Pandas, Airflow, and Apache Arrow as a new approach.","Beginners,Big Data,Case Study,Data Science,Open-Source",Mastering a data pipeline with Python: 6 years of learned lessons from mistakes
Adam Hopkins,July 2020,"Great, you've developed a great web API. Awesome, you are about to deploy it. But, how do you secure it and manage access?","APIs,Authentication,Best Practice,RESTful,Web",Overcoming access control in web APIs
Ian Ozsvald,July 2020,"Larger datasets can't fit into RAM - suddenly you can't use Pandas any more - but we need to analyse that data! First we'll review techniques to compress our data (maybe cutting our DataFrame RAM usage in half!) so we can process more rows using regular Pandas. Next we'll look at clever ways to make common operations run faster on DataFrames including dropping down to numpy, compiling with Numba and running multi-core. Finally for still-larger datasets we'll review Dask on Pandas and the new Vaex competitor solution. You'll leave with new techniques to make your DataFrames smaller and ideas for processing your data faster.,This talk is inspired by Ian's work updating his O'Reilly book High Performance Python to the 2nd edition for 2020. With over 10 years of evolution the Pandas DataFrame library has gained a huge amount of functionality and it is used by millions of Pythonistas - but the most obvious way to solve a task isn't always the fastest or most RAM efficient. This talk will help any Pandas user (beginner or beyond) process more data faster, making them more effective at their jobs.","Big Data,Data Science,Multi-Processing,Performance,Scientific Libraries (Numpy/Pandas/SciKit/...)",Making Pandas Fly
Aaron Ma,July 2020,"Machine learning (ML) is becoming an essential technology for our day to day life. Stop taking ML as a threat and learn it today as not learning it is a HUGE LOSS! Get started today with ML in Aaron's remarkable 45-mins talk. We will begin by talking about the paradigm of ML, then taking a deep dive into Neural Networks and building a Neural Network from scratch with Keras and TensorFlow (the hottest machine learning framework). You'll master the magic of neural networks that are powering incredible advances both in AI, self-driving cars, and much more! Finally, we will finish off by talking about Reinforcement learning and how it is empowering YouTube suggestions along with tips-and-tricks from a specialist plus a grand finale mind-blowing demo. Ready to master the paradigm of ML? Let's get started.","Beginners,Deep Learning,General,Machine-Learning",Machine Learning for Everyone
Ram Rachum,July 2020,"This is going to be a fun live-coding session using NumPy and SoundDevice. The goal of this talk is to make the computer produce realistic-sounding instrument sounds, using nothing but math.","Agile,Algorithms,Fun and Humor,Physics,PyPy",Live-coding a music synthesizer
Miki Tebeka,July 2020,"IPython seems like a fancy Python shell. Why do we need it when we have PyCharm, VSCode, and other IDEs?","Development,Ipython",IPython: The Productivity Booster
Aly Sivji,July 2020,"Applications and libraries with a pluggable architecture allow developers to add custom functionality. Plugins can customize user interfaces, create new workflows, and interface with legacy systems. Designing a plugin is often difficult - documentation is sparse, outdated, or non-existent. You end up diving into a unfamiliar codebase to figure out what to do.","Abstractions,Architecture,Development,Software Design,System Architecture",Pluggable Architecture
Bernat Gabor,July 2020,"virtualenv is a tool that builds virtual environments for Python. It was first created in September 2007 and lived most of its life being a single file project with an increasing amount of (scary) workarounds within. It managed to grow until it was 2,700 lines of code. Maintaining this project became increasingly more troublesome, to the point where, we had more than 500 open issues at one point. In July 2019, I started working from scratch on a rewrite, with the goal of not just increasing the project's maintainability, but also to make it faster and add some new features that were just impossible or too hard to do in the existing code base. Fast forward six months to January 2020, when we released the first beta, with the first full release coming out on 10th February. It took a bit more than a month to squash all the open bugs tickets, but April started without any remaining open bug tickets. This talk will cover the lessons I've learned while on this journey.","Packaging,Virtual Env,python",Lessons from the Trenches: rewriting and re-releasing virtualenv
Sangarshanan Veeraraghavan,July 2020,GeoDataframes are awesome for working with GIS data in Python as it provides the goodness of pandas for geographic data but So let's use them to create some cool interactive maps  ,"GEO and GIS,Open-Source,Visualization",Interactive Mapmaking with Python
Miloslav Pojman,July 2020,"HTTP is the foundation of the current web, and HTTP/3 is the upcoming major version of it. The new version is built on top of the QUIC transport protocol, originally developed in Google.","HTTP,Internet,Privacy,Web,Web Protocols",HTTP/3 – why should I care?
Kanianthra Chandy,July 2020,"Sensors, social media, news feeds, webcams and other sources generate streams of data which are analyzed to control actuators, generate alerts, and feed displays. These applications process streams on onboard computers, such as the Raspberry Pi, connected directly to sensors, and send summarized information to the cloud for further processing. These applications have two characteristics: (1) Concurrency: The applications are concurrent using multiple threads to connect to sensors and actuators, shared memory across multiple processes on multicore machines and message passing for distributed systems spanning multiple computers. (2) Data Analysis: The applications use programs from a variety of libraries including those for signal processing, machine learning and natural language processing.","Distributed Systems,Internet of Things (IoT),Messaging and Job Queues (RabbitMQ/Redis/...),Scientific Libraries (Numpy/Pandas/SciKit/...),Sensors",IoTPy: Python + Streams + Agents for Streaming Applications
Mridu Bhatnagar,July 2020,This talk is intended to explain to participants what is happening under the hood when they are playing around with different python built-in data structures. Explain the concepts such that they are not surprised by the behavior of Python.,"Data-Structures,Development,Python 3",Object Internals
Elias Mistler,July 2020,"Python is a powerful multi-paradigm language which combines elements of object-orientation and functional programming. Both concepts can be really powerful if used right. But what if you use them together? It can be pragmatic and very efficient, but things can also get messy really quickly.","Abstractions,Architecture,Best Practice,Clean Code,Functional Programming",How to write multi-paradigm code
Reuven Lerner,July 2020,"Sorting is one of those things that we take for granted in Python. The built-in ""sorted"" function knows how to sort any iterable of objects that are themselves sortable.","Data,Development,Functional Programming",How to sort anything
Ivana Kellyerova,July 2020,"The internet has never failed at being, among other things, a giant treasure of unsolicited advice by random people on all sorts of things, programming being no exception. Wanna become a better coder? Learn to maximize your WPM (c). Never look at documentation because that's just embarrassing. And for crying out loud, change your screen background to black!","Best Practice,Programming,The Answer to Life the Universe and Everything Else",How to Avoid Becoming a 10x Engineer
Cheuk Ho,July 2020,"Query language is an important part of a database system, it is how people manage their data and how they can make the data useful to them. Starting from the 70s, the world is full of relational databases and SQL was the way to make queries. However, SQL is valuable to an injection attack. Lots of efforts are being used to stop those attacks and it made workflow become less efficient.","APIs,Databases,Graph Databases,Open-Source,Programming",How to be Pythonic? Design a Query Language in Python
James Ing Wei Tang,July 2020,This is a small code snippet that I have written in Python for the POC of getting the GPS coordinate from android phone:,"Gadgets,General,Python 3","Honey, There Is a Python in My Android Phone!"
"Lidi Zheng,Pau Freixes",July 2020,"Goal - Encourage Python developers to understand C extensions by sharing gRPC Python’s practice, and advocate the adoption of AsyncIO.","ASYNC / Concurreny,CPython,Cython,Performance","gRPC Python, C Extensions, and AsyncIO"
David Bordeynik,July 2020,"Async is all the rage, mostly because it simplifies waiting for an operation that takes some time to finish. Python went all in on asyncio by changing the language to support it (async/await) iIn this microservices era where many of the applications we develop consume several 3rd party API services, async is the fast track to success. In this talk, I’ll demonstrate the benefits of going async for a web application, justify choosing Sanic over other web frameworks like aiohttp. I’ll do so by transforming a Flask backed application to a Sanic backed application. Finally, I’ll provide tips & tricks from my experience on measuring, monitoring and testing async code.","ASYNC / Concurreny,Abstractions,Best Practice,Web",Flasync Await
Szymon Pyżalski,July 2020,"The introduction of PEP-484 gave us an option to enforce the internal type consistency of our Python applications. Our web projects, however, consist of multiple layers, with the Python app taking the role of an HTTP backend. What options do we have to ensure consistency across our stack?,In this talk, we will see some technologies that we can employ to enforce the contract between the layers of our stack. Especially between the frontend and backend. We will demo, how this can be achieved with REST/Swagger and with GraphQL. As both the Graphene library and the open API support for django-rest-framework are both a work-in-progress, we would check, what is possible, and what is still lacking. We will also discuss various approaches to the design: backend first, auto-generating backend from the spec, and TDD, with their advantages and disadvantages.,The topic would be discussed on a simple web application. We would try to play some realistic scenarios, where a careless developer breaks the contract to see how such a mistake can be spotted in the CI phase of the development cycle.,Basic knowledge of Django and JavaScript is required to understand the talk. Some familiarity with TypeScript and ReactJS would also be helpful. However, I plan to explain the code to the listeners that didn’t have prior exposure to these technologies.","APIs,Django,JavaScript,Type-Hinting,Web Protocols",Full Stack Type Safety
"Mario Corchero,Marianna Polatoglou",July 2020,"The talk will showcase how the Python community started and took off in Bloomberg, and how it can serve as a model that can be used within other companies as well. This includes details on how Bloomberg's Python community got started and grew to the place that it is today, as well as tips from its leaders personal experiences.",Community,Growing a Python Community at an Enterprise Scale
William Arias,July 2020,"Context: Today is relatively easy to create and train a conversational agent using Machine Learning Techniques, fire it up and showcase it in your computer","Deep Learning,Deployment/Continuous Integration and Delivery,Ipython,Machine-Learning,Open-Source",Deploy your Machine Learning Bots like a boss with CI/CD
Gajendra Deshpande,July 2020,"Imagine you are passing through an unknown street at midnight and you find that some anti-social elements are following you. To save yourself from them you start running and look for a safe place to hide. On the way, you will find a good person and requests him to help you. He hides you in his place to protect you. When these anti-social elements visit a good person’s place and enquire about you, the good person misguides them and redirects them to some other place in order to protect you. This is exactly how deception works. In this analogy, YOU are the resources to be protected, anti-social elements are the hackers who want to gain access to the resources, and a good person is a deception technique that protects the resources from hackers by making them fall in the trap.","Beginners,Machine-Learning,Security,python",Deceptive Security using Python
Takanori Suzuki,July 2020,"- Overview,  - The history of PyCon JP has been 10 years since 2010,  - The conference itself has started up → expanded in scale → stabilized,  - At the same time, we are working on spreading Python throughout Japan.,  - And what to do in the future,- History of PyCon JP,  - The origin of PyCon JP was PyCon APAC 2010 in Singapore,  - We have been holding PyCon JP every year since 2011,    - Our first PyCon was PyCon mini JP in 2011,    - We invited PyCon APAC from Singapore in 2013,  - Participants are increasing steadily,  - There is English tracks and Japanese talks,- 2013: Association,  - Purpose: We have established a legal entity to make it easier to manage money and contracts for PyCon JP event ,  - I have been a director since 2013,- 2014-1016: Chair od PyCon JP event,  - I was the chair of PyCon JP event from 2014 to 2016,  - Purpose: Open management,  - I opened every staff meeting to make it easier for new staff to join,  - We created an operation manual and made it reusable,  - We regularly publish our activities on the blog to get interested in event management,- 2015-: PyCon mini,  - Small PyCons in the region were held in Sapporo and Hiroshima in 2015,  - It has been held in various places such as Kumamoto and Osaka,  - PyCon Kyushu is held all over Kyushu(Fukuoka -> Okinawa -> Kumamoto),  - We have been sharing operating know-how and supporting money and people,  - We have also provided a subdomain of pycon.jp,- 2016-: Python Boot Camp,  - Objective: We visit all over Japan to teach Python → We connect with local people → We hope local communities to start up,  - We teach an introduction to Python programming in half a day,  - We hold 40 times in 3.5 years with 950 local participants,  - We hold in cooperation with local staff and local teachig assistants,  - Result: Some local communities have been created,  - PyCon JP has more people coming from local area,- 2019: Python Boot Camp Caravan, Regional Meetup,  - Purpose: To strengthen the connection between local communities,  - A regional meetup was held at PyCon JP 2019 with local community members,  - About 30 people gathered from all over Japan for this event,  - We had various discussions and shared ideas and worries,  - We hold local meetups online,  - We hold the first online meeting using Zoom, with 15 participants from all over Japan,- Future,  - We want to hold PyCon JP outside of Tokyo,  - We want to conquer all prefectures at Python Boot Camp,  - We want PyCon mini to be held all over Japan,- Summary,  - We have spread Python throughout Japan with various activities,  - I think it's important to meet,  - First we go to meet local people,  - Reunion strengthens relationship",Community,Decade of PyCon JP: How we spread the Python community in Japan
Yenny Cheung,July 2020,"What can we do as technical leaders to make sure everyone feels accepted and build a supportive team culture during the turbulent times? This talk shares concrete steps that we can take to lead by example, and navigate our team through crisis:","Communication,Community,Diversity,Management",Creating an inclusive team culture in times of change
Ching Lam Choi,July 2020,"Identified in December 2019, the novel Coronavirus has infected 2.7 million worldwide, and claimed the lives of 0.2 million. Amidst this deadly pandemic, I started my open source project, Corona-Net, in the hopes of contributing to the global fight against the Coronavirus. Corona-Net is a 3-part project dedicated to the classification, binary segmentation and multi-class segmentation of COVID-19. I first leverage the EfficientNet model for COVID-19 diagnosis, then utilise and refine the U-Net architecture for both binary and 3-class (ground-glass, consolidation, pleural effusion) segmentation of COVID-19 symptoms, through inference on the COVID-19 CT segmentation (chest axial CT) dataset. Through Corona-Net, I aim to develop a reliable, visual-semantically balanced method for automatic COVID-19 diagnosis, as well as extend an invitation to all to collaborate and stand together against this pandemic. My PyTorch code is publicly available at ,.","Computer Vision,Data Science,Deep Learning,Image Processing,Scientific Libraries (Numpy/Pandas/SciKit/...)",Corona-Net
Noah Chen,July 2020,"due to COVID-19(Coronavirus disease 2019), we changed our life, social, and our community. most of us are engineer/organizer/designer/contributor with passion to communicate to everyone who has similar background. in COVID-19 disease, we are forced to reduce social event for keeping safe. in case from China/Korea/Malaysia.... we can see the number is decreasing and be controlled after each government announced new policy: Face masked, Social Distancing, Quarantine, and Isolation. it meant we can not go to some place to hangout like usual, of course we have a lot of SMS tools/platform/media to keep relationship with our love, but for community, we easily lost our passion. and now, I want to share some doing/status of communities in Asia or other region I knew during/after COVID-19.","Communication,Community,EuroPython,freelancing",community-oriented conference status during COVID-19
Amber Vanderburg,July 2020,"In my work as a consultant, coach, and organizational leader- I work with amazing companies around the world, helping them craft and implement strategies to build high-performing teams.","Agile,Best Practice,Business,Community,DevOps general","Cultivating a Culture of Creativity, Collaboration, and Captainship"
Anastasiia Tymoshchuk,July 2020,"What happens when your features are done, your MVP is ready and you want to deploy your first production build? What do you do then? How do you make your first production build instead of re-using your development one? is your code ready to handle real user interactions?,This talk will show a production ready checklist for your Python code; what to look for when creating a production-ready Docker image; what are the differences between development and production environments and builds.,You will see how to deal with exceptions, logs, and metrics with real-world use cases.","Architecture,Best Practice,Clean Code,Development,Documentation",Can we deploy yet?
Nicholas Tollervey,July 2020,"One of the best aspects of any conference, and EuroPython in particular, is the corridor track. It's when you walk around the physical conference venue and bump into an old buddy, find yourself striking up a conversation with a friendly co-attendee in the coffee queue, or join a huddle of welcoming folks discussing something interesting. The corridor track is where the community comes alive.","Conferences and Meet-Ups,Fun and Humor,Game-Development,Python general",How to Run a Corridor Track in a Remote Conference with Python
Leonardo Giordani,July 2020,"Architectural considerations are often overlooked by developers or completely delegated to a framework. We should start once again discussing how applications are structured, how components are connected and how to lower coupling between different parts of a system, to avoid creating software that cannot easily be maintained or changed.","Abstractions,Architecture,Clean Code,Development,TDD",Clean Architectures in Python
Laurent PICARD,July 2020,"ML? API? AutoML? Python is the language of choice to solve problems with machine learning, but what can we build in only a few hours or days and without any expertise? In this session, we'll see how to benefit from existing ML models and how to create a custom model with AutoML techniques. We’ll also be active players of a live demo, so don't put your smartphone on airplane mode!","Computer Vision,Human-Machine-Interaction,Machine-Learning,Natural Language Processing,Public Cloud (AWS/Google/...)",Building smarter solutions with no expertise in machine learning
Irene Iriarte,July 2020,"This talk will describe how Gousto, a leading recipe box service based in the UK, is using python to build a personalisation ecosystem. Our menu planning optimisation algorithm allows us to create the perfect mix of recipes, ensuring a variety of dish types, cuisines and ingredients. Our recommendation engine sitting on top of this can then offer each customer a personally curated menu, making sure that users have meaningful choice. All this while ensuring that we are also optimising for maximum performance from the operations point of view! ","Algorithms,Case Study,Data Science,E-Commerce,Machine-Learning",Building The Perfect Personalised Menu Using Python
Fabian Höring,July 2020,Packaging in Python is hard. Packaging is particularly hard when code needs to run in a distributed computing environment where it is difficult to know what runs where and which parts of the code are available to run there. ,"Big Data,Distributed Systems,Packaging,Virtual Env",Building reproducible distributed applications at scale
Eran Friedman,July 2020,"Our product uses a fleet of real (not virtual) robots to perform different tasks in a fulfillment warehouse. Simulation is an essential tool in this kind of product: it allows to perform regression tests and test new features without the need for real and expensive hardware, to compare the impact of different algorithms and optimizations, to inject failures, and more.","Architecture,Robotics,Testing",Boosting simulation performance with Python
Takuya Futatsugi,July 2020,"It is wonderful to automate boring stuffs with Python.,In Japan, new introductory books are being published every month and more and more Pythonistas are working on automation.,A Python script that is useful to you may be useful to others.,So I talk about how to enable others to use your script.","Beginners,Command-Line,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Bringing your Python script to more users!
Itamar Turner-Trauring,July 2020,"You know the basics of packaging your Python application for Docker, but do you know enough to run that image in production? Bad packaging can result in security and production problems, not to mention wasted time try to debug unreproducible errors.","Deployment/Continuous Integration and Delivery,DevOps general,Docker,Packaging,Security",Best practices for production-ready Docker packaging
Hongjoo Lee,July 2020,"As software engineers work on CI/CD process as soon as they start a new project, data scientists and ML engineers define a pipeline for data as it flows through a typical workflow. Each step of the pipeline is fed data processed from its preceding step as CI/CD process starts from code changes. ","Big Data,Data,Data Science,Deployment/Continuous Integration and Delivery",Automating machine learning workflow with DVC
Anton Chernikov,July 2020,"The technology is to take script written in a high-level language (Python), analyze its inputs/outputs, images or graphs display, other interactions with the user and build connectors to this script from Chat Apps like Slack, Skype, and others. Imagine that you described your skill as a script and gave it to a software robot. And from that moment it is his skill, you and your colleagues can ask him any time to run this skill and give results. As a script author, you don't think about how to connect with different Chat Apps, how to control access, how to monitor that script works fine when colleagues run it, how to save logs, how to balance load if there are too many colleagues running script and so on, our platform does all of this so the author doesn't need to think about what is that software robot, how it works, the platform will understand script by itself. The author just drop script to the platform and tell to the platform which colleagues have the right to run this script.","Best Practice,Community,Operations,Workforce,python",Automate your tasks with Python and publish with Chat Apps
Ruud van der Ham,July 2020,"In the Python landscape, there are several high-end GUI packages. Of course, there’s tkinter which is part of the standard library. And there is wxPython and several versions of Qt. What they share is that they are very flexible but not only have a steep learning curve but also take considerable development effort to realize even a simple user interface.,At the other of the spectrum, there are several design tools that either generate code of a layout structure. In many cases, the functionality is rather limited, though.,Relatively recent, an independent open-source developer (not me) has made a product that tries to bridge the gap between these two worlds: PySimpleGUI. This package runs on top of tkinter, QT for Windows, wxPython and Remi.,In this talk, I want to show the design methodology behind this fascinating product that might change the way people look at GUIs.,I will start with live coding a simple yet not evident program that shows the basic concepts. With this, I will demonstrate the design philosophy.,PySimpleGUI can also be used to implement a user-friendly interface as opposed to command-line interfaces.,From there, I will give an overview of some more elements present in this package.,Finally, I will show a full-featured GUI program with several bells and whistles.","Beginners,General,Human-Machine-Interaction,python",Attractive GUIs with PySimpleGUI
Philip Jones,July 2020,"I intend for this to be a fairly advanced talk that shows the steps required to go from a TCP echo server to a basic HTTP/1 ASGI server using asyncio for the IO. This is aimed at people who've read about asyncio, coroutines, etc and want to see them used in practice.","ASYNC / Concurreny,Web,Web Protocols,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",An ASGI Server from scratch
lil anonymous,July 2020,"Our generation of young people in school (aged 5-18) have noticed the connection between Computer pRogramming, Technology, Success and Billionaires. On mass they are clamouring to master the skill of Computer pRogramming. It  has been dubbed the ‘4th’ R’ (computer pRogramming) along with Reading, wRiting and aRithmetic. So, governments worldwide have launched initiatives to have it taught in schools from Kindergarten to all the way to high school.","Education,General,Python 3,Science,Teaching",Creating the Next Generations of Billionaires - Part 2
Gautam Prajapati,July 2020,"Many of us are using Kubernetes in production. A Kubernetes Operator is a way to automate packaging, deploying, and managing of a Kubernetes Application. It is a software alternative to a human operator who has deep knowledge of how to set up, deploy, and manage a particular piece of infrastructure and what to do if it isn’t behaving correctly. Let’s see how we can automate all of this while staying in the Python ecosystem.","DevOps general,Distributed Systems,Infrastructure,Messaging and Job Queues (RabbitMQ/Redis/...),python",Advanced Infrastructure Management in Kubernetes using Python
Chiin-Rui Tan,July 2020,"Imagine this school scenario: an entire year group of students aged 11-12, the majority completely new to coding, undergoing 6 hours of compulsory lessons on Python for Scientific Computing.    ","Case Study,Data Science,Education,Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)","Accessible Python education for schoolgirls using Avocados, Zombies, and Korean!"
Paolo Melchiorre,July 2020,A full-text search on a website is the best way to make its contents easily accessible to users because it returns better results and is in fact used in online search engines or social networks.,"Django,PostgreSQL,Use Case,Web",A pythonic full-text search
Alexys Jacob,July 2020,"This talk will explain the thread-per-core data architecture of Scylla and,detail how we implemented ""shard-awareness"" in the Cassandra Python driver,which allows to route queries down to the right CPU!","Databases,NoSQL,Python 3,Scaling",A deep dive and comparison of Python drivers for Cassandra and Scylla
Lais Carvalho,July 2020,"ICare is a chatbot that helps people overcome loneliness. We started this project because we wanted to help people who suffer from loneliness during the COVID-19 social distancing times. The app allows people to give ‘voice’ to their emotions - especially the negative ones, without relying on their friends or (negatively) influencing on their moods.","APIs,Natural Language Processing,Web Servers and MicroFWs (Flask/Tornado/Nginx/...),python",A chatbot that takes care of people during a lockdown.
William Horton,July 2020,"The Jupyter Notebook: many Python users love it, many other Python users love to hate it. But where did it come from? How did we come to have a tool that combines code execution, visualization, Markdown, and more? In this talk, we will dive into the development of the Jupyter Notebook and the older ideas that it built upon. ","Data Science,Ipython,Jupyter,Open-Source,Scientific Libraries (Numpy/Pandas/SciKit/...)",A Brief History of Jupyter Notebooks
Alexander Hendorf,July 2020,"spaCy is a free, open-source library for advanced Natural Language Processing (NLP) in Python.,It was specifically designed for production use and it's a great tool to build applications that process text and help  to “understand” large corpuses. ","Natural Language Processing,Python 3",15 Things You Should Know About Spacy
Naomi Ceder,July 2020,"Python communities around the world, large and small are facing loss - from the loss of in person meetups and conferences to the loss of employment and even the potential loss of health and life. As communities we are all confronting uncertainty and unanswered questions. In this talk I would like to reflect on some of those questions. What are communities doing now to preserve a sense of community in the face of this crisis? What might we do and what options will we have for coming events? How can we build and foster community and still keep everyone safe? What challenges might we all face in the future? What sources of support can we find? What are our sources of optimism and hope?","Community,Conferences and Meet-Ups",Staying for the Community: Building Community in the face of Covid-19
Alejandro Saucedo,July 2020,"As the impact of software increasingly reaches farther and wider, our professional responsibility as developers becomes more critical to society. The production systems we design, build and maintain often bring inherent adversities with complex technical, societal and even ethical challenges. The skillsets required to tackle these challenges require us to go beyond the algorithms, and require cross-functional collaboration that often goes beyond a single developer. In this talk we introduce intuitive and practical insights from a few of the core ethics themes in software including Privacy, Equity, Trust and Transparency. We cover their importance, the growing societal challenges, and how organisations such as The Institute for Ethical AI, The Linux Foundation, the Association for Computer Machinery, NumFocus, the IEEE and the Python Software Foundation are contributing to these critical themes through standards, policy advise and open source software initiatives. We finally will wrap up the talk with practical steps that any individual can take to get involved and contribute to some of these great open initiatives, and contribute to these critical ongoing discussions.","Ethics,Machine-Learning",Meditations on First Deployment: A Practical Guide to Responsible Development
Guido van Rossum,July 2020,"Q&A session with Guido van Rossum, Creator of Python.",Python general,Guido van Rossum Q&A
Alexander Hultnér,July 2020,"The goal with this talk is to introduce the audience to property-based testing for API’s using schemas to automatically generate test scenarios, enabling them to write more powerful tests faster. ","APIs,RESTful,Test Libraries (pytest/nose/...),Testing,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",API-schema-based testing with schemathesis
Alexander Condello,July 2020,"In the past, quantum computing was largely reserved for researchers, physicists, and scientists with direct access to physical quantum computing systems. But the game has changed, thanks to the cloud. Barriers to quantum computing are coming down quickly.","Community,Jupyter,Machine-Learning,Other Hardware,Python general",Building quantum applications with D-Wave's Leap
